iter	RMSE
152	8443.455069
153	8326.523912
154	8257.239373
155	8234.174307
156	8164.750894
157	8120.834054
158	8101.519132
159	8002.199227
160	7973.318302
161	7930.458453
162	7842.601182
163	7808.690202
164	7786.331495
165	7759.355267
166	7743.898587
167	7707.350733
168	7689.6632
169	7663.697404
170	7615.37497
171	7572.912818
172	7551.327579
173	7508.015221
174	7432.363161
175	7379.822065
176	7360.133871
177	7317.461841
178	7287.57416
179	7270.358816
180	7198.015693
181	7155.399436
182	7127.899981
183	7106.568945
184	7093.569237
185	7034.473448
186	6982.42932
187	6966.33787
188	6918.506454
189	6874.77996
190	6855.195316
191	6806.954059
192	6792.333721
193	6774.076316
194	6716.599903
195	6661.046232
196	6617.652562
197	6596.729467
198	6562.866842
199	6532.363518
200	6525.845176
201	6501.423085
202	6487.176126
203	6469.169982
204	6449.737623
205	6429.364792
206	6402.233762
207	6388.726425
208	6372.069799
209	6348.221985
210	6329.22196
211	6295.803498
212	6268.939144
213	6226.889582
214	6218.667595
215	6172.749349
216	6150.783901
217	6138.45572
218	6120.726594
219	6103.541237
220	6064.185289
221	6034.138239
222	6015.047899
223	5954.801403
224	5915.508121
225	5895.243934
226	5865.652414
227	5834.176012
228	5790.064649
229	5777.938536
230	5753.175761
231	5725.782231
232	5713.504214
233	5660.394892
234	5626.106557
235	5600.309226
236	5560.215873
237	5549.854195
238	5510.255969
239	5489.217627
240	5457.264385
241	5412.289442
242	5391.799567
243	5372.593451
244	5344.26235
245	5329.052673
246	5302.212078
247	5293.06943
248	5275.089765
249	5245.67557
250	5216.488515
251	5208.111865
252	5177.760151
253	5152.178922
254	5147.487419
255	5134.619522
256	5122.865218
257	5093.963848
258	5053.577833
259	5016.037535
260	4984.896451
261	4981.316677
262	4948.016648
263	4944.000463
264	4923.940671
265	4889.769169
266	4862.299242
267	4850.20895
268	4834.162299
269	4818.024821
270	4803.06934
271	4768.536238
272	4737.063025
273	4726.658314
274	4709.520816
275	4700.003752
276	4671.126636
277	4642.761626
278	4624.610014
279	4597.164652
280	4577.603839
281	4559.233938
282	4541.017839
283	4514.612339
284	4493.240463
285	4459.174612
286	4438.524453
287	4416.418984
288	4409.364992
289	4400.318468
290	4359.713261
291	4328.406526
292	4289.886803
293	4282.594068
294	4274.07086
295	4257.32287
296	4248.964154
297	4233.737426
298	4213.684998
299	4206.810071
300	4190.907917
301	4164.086578
302	4141.238143
303	4114.639095
304	4102.585763
305	4086.550798
306	4064.96765
307	4050.862888
308	4049.249962
309	4042.531894
310	4016.505187
311	3989.527836
312	3978.382711
313	3952.107205
314	3933.146415
315	3921.319066
316	3911.635665
317	3899.321365
318	3888.932174
319	3880.511488
320	3865.391398
321	3856.65825
322	3843.523357
323	3833.013331
324	3823.397853
325	3809.716273
326	3798.773521
327	3777.34936
328	3755.971008
329	3753.024105
330	3735.854205
331	3716.314055
332	3696.600734
333	3675.76786
334	3639.987647
335	3636.669426
336	3629.281468
337	3604.615734
338	3600.76226
339	3586.233184
340	3574.859323
341	3557.743562
342	3554.923609
343	3536.52693
344	3515.782851
345	3493.862087
346	3484.798807
347	3467.795957
348	3461.880866
349	3438.174227
350	3427.763067
351	3423.325258
352	3407.548647
353	3389.43871
354	3382.260227
355	3370.223069
356	3355.778378
357	3348.859714
358	3338.24593
359	3316.744441
360	3307.829789
361	3299.504665
362	3291.590823
363	3274.73382
364	3249.278359
365	3239.994385
366	3220.464799
367	3204.405391
368	3188.289712
369	3179.347073
370	3164.943934
371	3158.553013
372	3154.043442
373	3147.416242
374	3133.621531
375	3130.867603
376	3126.316159
377	3116.319369
378	3099.770725
379	3099.463301
380	3067.05221
381	3051.754673
382	3046.477384
383	3039.674375
384	3028.521791
385	3021.5806
386	3017.68065
387	3014.403675
388	3002.314217
389	2992.527242
390	2987.279548
391	2980.947211
392	2975.501109
393	2957.139282
394	2947.781434
395	2940.50604
396	2930.802284
397	2924.643148
398	2911.696701
399	2895.318067
400	2884.808021
401	2879.807064
402	2864.612421
403	2849.728813
404	2846.153248
405	2837.477971
406	2819.471565
407	2809.201278
408	2804.442978
409	2794.846097
410	2786.995603
411	2782.717311
412	2770.403561
413	2751.102638
414	2747.712214
415	2746.345225
416	2737.277008
417	2728.885406
418	2715.340594
419	2708.012157
420	2695.354101
421	2679.550826
422	2672.84748
423	2659.918491
424	2653.276973
425	2642.681094
426	2640.234097
427	2633.382753
428	2627.172072
429	2612.252508
430	2608.085194
431	2593.689689
432	2578.312718
433	2573.458179
434	2556.206712
435	2550.344988
436	2540.038896
437	2531.908134
438	2531.69425
439	2524.691108
440	2516.356594
441	2515.11071
442	2511.787048
443	2501.970293
444	2497.80092
445	2485.19746
446	2476.060748
447	2471.868126
448	2464.60924
449	2459.924533
450	2452.482572
451	2452.190041
452	2441.330365
453	2433.493952
454	2424.252775
455	2409.997421
456	2400.26426
457	2392.642711
458	2387.616336
459	2382.197216
460	2378.102383
461	2373.848695
462	2366.65568
463	2354.268926
464	2345.811358
465	2341.685668
466	2337.240064
467	2329.733922
468	2322.035701
469	2315.477804
470	2314.074906
471	2311.512102
472	2309.630166
473	2303.169695
474	2301.300592
475	2293.587427
476	2286.594888
477	2282.625064
478	2270.272885
479	2262.631057
480	2257.647752
481	2252.000822
482	2249.531669
483	2247.466885
484	2240.427712
485	2235.476163
486	2222.379165
487	2218.363354
488	2213.235934
489	2207.227791
490	2203.810781
491	2199.381395
492	2192.332113
493	2186.776362
494	2183.145329
495	2181.839768
496	2176.06696
497	2165.202464
498	2163.037279
499	2156.030087
500	2146.06798
501	2137.52376
502	2129.735529
503	2122.04386
504	2119.185346
505	2114.039425
506	2105.880993
507	2105.480858
508	2099.08208
509	2094.774326
510	2087.508881
511	2078.274236
512	2059.35208
513	2054.487764
514	2045.10914
515	2044.872258
516	2028.160894
517	2022.464976
518	2012.171528
519	2004.437621
520	1990.708828
521	1986.407922
522	1983.903737
523	1977.298351
524	1969.292756
525	1967.06715
526	1965.203154
527	1960.786678
528	1955.510011
529	1943.584971
530	1931.439715
531	1926.720507
532	1923.412509
533	1913.531036
534	1906.119815
535	1901.40765
536	1898.772308
537	1896.021665
538	1891.35474
539	1891.127718
540	1888.595292
541	1884.163073
542	1881.02419
543	1875.253099
544	1869.340728
545	1864.037329
546	1858.412721
547	1851.093971
548	1841.761921
549	1836.881823
550	1831.582839
551	1829.231686
552	1820.163855
553	1809.0958
554	1806.577073
555	1804.540718
556	1799.797146
557	1795.035308
558	1789.590301
559	1786.264672
560	1784.476598
561	1782.309556
562	1777.542405
563	1770.223946
564	1763.961656
565	1760.043044
566	1756.871126
567	1746.932965
568	1740.7415
569	1732.723304
570	1728.475296
571	1721.393011
572	1719.395497
573	1715.169836
574	1714.84847
575	1711.052622
576	1708.702184
577	1706.161695
578	1697.153377
579	1690.528797
580	1685.972377
581	1679.812556
582	1674.791331
583	1667.170632
584	1666.596439
585	1662.054526
586	1660.07416
587	1656.194207
588	1648.354782
589	1642.634204
590	1635.868215
591	1634.841216
592	1633.111093
593	1628.353698
594	1626.929128
595	1620.522423
596	1611.078591
597	1607.055287
598	1604.640621
599	1602.632408
600	1597.64569
601	1592.985649
602	1583.87348
603	1583.450281
604	1579.124469
605	1577.635286
606	1565.45526
607	1561.65203
608	1557.094411
609	1551.331701
610	1550.980406
611	1548.863019
612	1547.59984
613	1540.632893
614	1537.022185
615	1536.795742
616	1531.959054
617	1527.772796
618	1525.077471
619	1521.71314
620	1519.750181
621	1516.51727
622	1514.404621
623	1507.510857
624	1507.19141
625	1505.343415
626	1503.198667
627	1501.42845
628	1500.934071
629	1495.652764
630	1492.412046
631	1491.000372
632	1487.594634
633	1483.114796
634	1481.279353
635	1477.79557
636	1475.516306
637	1472.241057
638	1465.939716
639	1458.553448
640	1456.483258
641	1454.28329
642	1452.485525
643	1450.694049
644	1444.192214
645	1441.864848
646	1441.012198
647	1437.91257
648	1429.866777
649	1426.422091
650	1424.160512
651	1420.601396
652	1415.332787
653	1414.775127
654	1411.660105
655	1405.698884
656	1400.253863
657	1393.433717
658	1391.875575
659	1391.186419
660	1390.073292
661	1380.164283
662	1377.398168
663	1372.594042
664	1368.691606
665	1365.360218
666	1363.212357
667	1358.042434
668	1354.661042
669	1348.367919
670	1345.917816
671	1342.328576
672	1340.420701
673	1336.821298
674	1335.419445
675	1332.663912
676	1326.933808
677	1321.841263
678	1319.685574
679	1317.55385
680	1309.607958
681	1305.310189
682	1302.985756
683	1302.156969
684	1300.215937
685	1298.570483
686	1295.89526
687	1289.758723
688	1287.885772
689	1286.027411
690	1284.336629
691	1281.293106
692	1277.845701
693	1273.684527
694	1273.338516
695	1270.576381
696	1267.491599
697	1265.314035
698	1264.248827
699	1258.650609
700	1257.139347
701	1255.868379
702	1253.02429
703	1246.441068
704	1239.893397
705	1237.184545
706	1236.948135
707	1234.191843
708	1227.71786
709	1226.295461
710	1225.140613
711	1222.068689
712	1218.043542
713	1214.048597
714	1212.52422
715	1208.973062
716	1199.508842
717	1195.612216
718	1192.241531
719	1190.661612
720	1188.31528
721	1187.338489
722	1185.45103
723	1179.69065
724	1179.34069
725	1177.684775
726	1173.450854
727	1172.455498
728	1165.120999
729	1164.001877
730	1161.710333
731	1160.056377
732	1154.084191
733	1146.577777
734	1141.180569
735	1138.322895
736	1136.93153
737	1134.66483
738	1131.507604
739	1127.499196
740	1124.387703
741	1121.154558
742	1114.663106
743	1112.52221
744	1112.037102
745	1110.946081
746	1106.764253
747	1106.533434
748	1104.807367
749	1103.527607
750	1100.586451
751	1097.991881
752	1094.999834
753	1089.893107
754	1089.593026
755	1084.555469
756	1081.335058
757	1080.573905
758	1078.310288
759	1074.42138
760	1071.818128
761	1069.135403
762	1066.937951
763	1062.738465
764	1061.659268
765	1060.998702
766	1060.415625
767	1059.141145
768	1054.030578
769	1050.799588
770	1049.365494
771	1049.086109
772	1048.442685
773	1047.364026
774	1045.488294
775	1044.015885
776	1043.385334
777	1042.947628
778	1039.936942
779	1038.951601
780	1034.37829
781	1032.435582
782	1028.696406
783	1026.3912
784	1024.855775
785	1022.086503
786	1017.289822
787	1015.939817
788	1011.262428
789	1010.619644
790	1008.287351
791	1007.015283
792	1005.08034
793	1004.593211
794	999.4214342
795	997.7941463
796	997.0187997
797	994.3000831
798	993.5791583
799	993.5019971
800	989.4109098
801	988.3043473
802	985.7622505
803	981.056095
804	979.9901563
805	978.2862495
806	976.9310736
807	975.685225
808	974.2657741
809	971.7803114
810	971.3597197
811	969.8295613
812	966.0752739
813	964.7473773
814	963.6194751
815	959.7175439
816	958.0447425
817	956.1837194
818	950.9215622
819	949.1308847
820	947.6895398
821	939.6982089
822	937.6490859
823	934.9284629
824	933.1565599
825	931.6556361
826	927.2226396
827	926.270821
828	925.4946332
829	923.7828613
830	923.2409936
831	920.6420265
832	918.9063582
833	917.8064705
834	915.9283274
835	909.8684699
836	909.4721957
837	909.3655786
838	907.5112716
839	906.7955124
840	905.1244216
841	903.4275356
842	900.1637176
843	894.2414187
844	890.8282753
845	889.1077529
846	888.1671771
847	886.1641701
848	884.1814492
849	882.3291271
850	879.3742029
851	878.2907472
852	876.6668968
853	874.0644167
854	872.1972194
855	870.7473832
856	869.8414064
857	868.8606114
858	865.7191236
859	862.44371
860	861.4526221
861	861.3675903
862	857.5075087
863	856.5560487
864	855.8456801
865	855.546425
866	854.1389365
867	853.4534888
868	853.3739002
869	852.9100948
870	851.7196001
871	848.9548723
872	848.1077347
873	846.6104811
874	845.8383104
875	845.1420057
876	844.3547937
877	843.6463678
878	842.4957743
879	841.6950902
880	839.8876997
881	836.0654982
882	834.9915038
883	832.6335648
884	831.9746085
885	830.9903989
886	829.7452662
887	829.1250961
888	828.0192755
889	825.2141873
890	821.4064445
891	820.2274674
892	818.5098296
893	818.3615949
894	816.8388306
895	816.2415696
896	815.9134909
897	814.3913099
898	812.3467889
899	812.2725266
900	811.2696483
901	806.2656583
902	804.9497477
903	803.6100651
904	803.4516809
905	801.8002369
906	800.5531328
907	798.4231464
908	795.8265469
909	795.1317741
910	794.0173246
911	793.3745233
912	793.2854754
913	792.9303397
914	792.2718103
915	790.7403059
916	789.8184392
917	789.421723
918	788.6747503
919	788.0299391
920	786.0691547
921	784.0863244
922	783.7728358
923	782.6799509
924	775.030214
925	773.3796051
926	773.2526371
927	771.5359143
928	771.4714618
929	768.8995659
930	768.6042343
931	763.7593266
932	763.2273043
933	762.4758467
934	762.4238491
935	758.5285476
936	756.9206636
937	751.8871102
938	750.5283149
939	747.9810136
940	746.4889718
941	740.4952428
942	739.9117348
943	737.2177095
944	736.8631087
945	735.699952
946	734.5134613
947	734.2162026
948	732.8124688
949	731.8671374
950	731.2836885
951	730.5422816
952	730.3875954
953	730.302205
954	729.1998999
955	727.5111951
956	726.4477615
957	721.8260936
958	719.8554618
959	718.8519061
960	716.663925
961	715.0253741
962	714.797513
963	713.1464916
964	711.7097212
965	703.7066129
966	702.5433408
967	701.3880998
968	699.5831179
969	696.6393111
970	696.4169561
971	695.3225667
972	692.8528051
973	691.7041762
974	689.9540894
975	689.0369903
976	687.4977472
977	680.2352789
978	679.8670749
979	679.682591
980	678.8949432
981	676.9853954
982	674.6517429
983	672.4697245
984	671.8792754
985	670.9064613
986	666.2489588
987	665.0451049
988	662.8681971
989	662.3672287
990	661.4610946
991	659.9993805
992	658.8687137
993	656.6157505
994	653.9870957
995	651.0026409
996	649.8013691
997	648.287888
998	647.4736143
999	646.6761176
