iter	RMSE
0	57498.43085
1	54338.46223
2	51347.89859
3	48087.8846
4	45928.41223
5	43791.67699
6	41689.36294
7	39616.56741
8	37712.24009
9	36313.72573
10	35138.02541
11	33797.5388
12	32748.94218
13	31833.02567
14	31045.93891
15	30353.41332
16	29661.91355
17	28972.66278
18	28378.54387
19	27798.82501
20	27245.82302
21	26781.15448
22	26314.71728
23	25946.27083
24	25665.10998
25	25302.7757
26	24916.94293
27	24617.73899
28	24330.41567
29	24072.07939
30	23782.20256
31	23365.84086
32	22958.85235
33	22663.0121
34	22307.37769
35	21972.22376
36	21697.90367
37	21552.845
38	21243.65571
39	20884.61759
40	20599.83276
41	20298.59422
42	20069.72483
43	19855.85146
44	19731.68599
45	19462.35143
46	19306.21158
47	19142.38186
48	19017.40971
49	18856.80659
50	18652.33832
51	18554.1177
52	18494.61392
53	18427.73788
54	18211.79606
55	18027.61948
56	17827.56009
57	17707.65532
58	17498.66515
59	17271.18787
60	17138.77777
61	16994.64157
62	16827.81591
63	16602.80758
64	16460.33553
65	16264.47258
66	16116.70086
67	15992.30168
68	15761.00062
69	15580.17565
70	15519.90104
71	15382.36649
72	15248.96914
73	15089.28213
74	14995.085
75	14812.95056
76	14604.71698
77	14483.08245
78	14422.1439
79	14319.14335
80	14172.63836
81	14027.45239
82	13902.16958
83	13799.14727
84	13708.05004
85	13565.49118
86	13461.6146
87	13334.58897
88	13187.73272
89	13102.05561
90	13001.40576
91	12836.02014
92	12701.17713
93	12546.35715
94	12342.29797
95	12291.70686
96	12161.65521
97	12075.78626
98	11957.61583
99	11850.41202
100	11783.11195
101	11651.37598
102	11548.29655
103	11476.07843
104	11383.03114
105	11313.05835
106	11229.79324
107	11119.53249
108	11008.15894
109	10930.33304
110	10835.58576
111	10752.07193
112	10655.20115
113	10581.45105
114	10565.27623
115	10487.04256
116	10456.36145
117	10367.46607
118	10322.71973
119	10195.53968
120	10117.22387
121	10078.99899
122	10044.79634
123	9977.389146
124	9926.741383
125	9922.437955
126	9863.078184
127	9808.360637
128	9734.208766
129	9686.530253
130	9623.688431
131	9556.568629
132	9524.45578
133	9482.763319
134	9449.739437
135	9391.735035
136	9323.891965
137	9250.695327
138	9207.175405
139	9134.892889
140	9105.218326
141	9040.882573
142	9015.577273
143	8897.93143
144	8824.076259
145	8778.441361
146	8736.463882
147	8657.150546
148	8622.669298
149	8576.126135
150	8500.436101
151	8461.763737
